time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/policy_gradient_loss,train/std,train/loss,train/value_loss,train/clip_range,train/entropy_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/explained_variance
61440,60,766,80,0.0043633706,-0.003800631201011129,0.8186942338943481,-0.02630130760371685,1.8761493430474728e-05,0.2,-1.216435794532299,0.0380859375,0.0003,590,0.9785328805446625
62464,61,767,81,0.009502806,-0.009479537140578032,0.8180989623069763,-0.01605210453271866,9.403952964248674e-06,0.2,-1.2179229125380515,0.0982421875,0.0003,600,0.9850580766797066
63488,62,768,82,0.006731195,-0.007769518153509125,0.7993561029434204,-0.0148299066349864,7.46399700233269e-06,0.2,-1.2077756434679032,0.04921875,0.0003,610,0.9842072110623121
64512,63,771,83,0.010787735,-0.016051564970985054,0.7932543158531189,-0.019796481356024742,4.3090824391356365e-06,0.2,-1.1894221499562263,0.1412109375,0.0003,620,0.9707938525825739
65536,64,774,84,0.0063537457,-0.009280701167881489,0.7810964584350586,-0.007036886177957058,2.8180538080846418e-06,0.2,-1.1798718199133873,0.0779296875,0.0003,630,0.9742088839411736
66560,65,775,85,0.009522735,-0.01304524196893908,0.7727940678596497,-0.0011826315894722939,1.6670156853137996e-06,0.2,-1.166275867819786,0.137109375,0.0003,640,0.9678121283650398
67584,66,778,86,0.005023861,-0.0073196924902731554,0.7729526162147522,-0.005352849140763283,1.3487224798325315e-06,0.2,-1.1600852832198143,0.0615234375,0.0003,650,0.9716975931078196
68608,67,777,88,0.008407942,-0.010893139586551115,0.7664729952812195,-0.01747562177479267,1.4202033071342158e-06,0.2,-1.156985703110695,0.1001953125,0.0003,660,0.9805498011410236
69632,68,779,89,0.012516881,-0.02354718998540193,0.7546183466911316,-0.014823312871158123,2.2709396219511293e-06,0.2,-1.146187773346901,0.203515625,0.0003,670,0.9319684654474258
70656,69,779,90,0.010944832,-0.017128771712305025,0.7402536869049072,-0.017423836514353752,1.725154660903172e-06,0.2,-1.127926766872406,0.14462890625,0.0003,680,0.9829282406717539
71680,70,778,92,0.010297688,-0.010568255058024079,0.7404817938804626,-0.017489755526185036,1.5088945787056217e-06,0.2,-1.116818407177925,0.11025390625,0.0003,690,0.9862614292651415
72704,71,780,93,0.014726996,-0.019559206807753072,0.7372795343399048,-0.013530361466109753,6.174899400690492e-07,0.2,-1.1168966442346573,0.18720703125,0.0003,700,0.9737984538078308
73728,72,780,94,0.007688115,-0.009730250708526001,0.7296430468559265,-0.0063510616309940815,8.96341800782352e-07,0.2,-1.1083306193351745,0.1046875,0.0003,710,0.9786021914333105
74752,73,782,95,0.005496415,-0.006720212538493797,0.7202507257461548,-0.01480970997363329,1.4689275303680915e-06,0.2,-1.0974093049764633,0.05703125,0.0003,720,0.9887215718626976
